ID number,0,1,2,3,4,5,6,7,8,9
28614429,11.18,20,-,19.32,18.71,18.21,20,7,-,-
3803521,-,19.44,12,18.41,20,14.64,19.33,17,19,13
3521310,11.76,9.56,9,-,-,12.14,5.33,3,-,-
3700288,9.41,8.56,8.78,17.95,16.57,13.93,11.33,7,-,-
3810883,14.12,15,20,15.68,20,13.57,20,9,16.12,16
3802927,19.41,20,20,18.64,20,18.57,15.33,9,20,14
3706553,9.41,20,11.67,15.91,20,15.71,20,14,5.76,9
3708951,15.88,20,20,17.95,20,17.86,20,16,16.12,9
3802503,-,-,-,-,-,-,-,-,-,-
3874223,-,-,-,-,-,-,-,-,-,-
28720090,-,-,-,10,13.57,15.71,17.33,4,5.06,-
3701943,15.29,20,-,17.27,15.71,13.57,20,1,18.18,-
3302425,4.71,15,12.33,14.09,19.14,14.29,-,9,19,10
3801875,15.29,20,17.78,16.82,20,13.93,18.67,17,17.76,13
3800455,18.82,13.44,12.44,20,17.5,15,20,7,15,5
3700584,18.82,20,20,19.09,20,17.86,20,9,20,9
3800333,11.76,20,10.67,13.18,20,15.36,20,8,19,14
3700463,12.35,20,11.56,18.64,14.86,18.21,20,9,20,-
3800411,16.47,-,20,18.18,-,13.57,19.33,9,-,7
3407716,-,19,10,-,-,-,-,-,-,-
3706539,14.71,15,20,18.41,20,13.93,20,9,16.12,15
28718098,18.82,20,18,18.41,20,16.07,19.33,8,17.35,5
3970876,19.41,20,20,20,20,19.64,20,-,19,11
3520680,16.47,20,20,19.09,-,-,20,16.75,19.59,16
3800042,13.53,15,16.44,19.32,17.86,17.14,20,15,20,9
3520431,16.47,16,13.33,14.09,15.57,13.93,20,9,10.88,5
3800417,16.47,20,16,20,19.07,18.21,16,14,14.06,12
3520375,11.18,18,10.67,15,17.86,14.64,19.33,7,15.29,7
3702742,18.24,20,20,18.86,20,18.21,20,14.75,14.29,9
3872455,18.82,20,19.67,20,20,14.64,20,15,15.71,-
3800075,-,19,-,-,-,-,-,-,-,-
3802719,5.88,15,14.67,20,20,15.71,20,7.5,0,15
3802466,11.18,11.89,7.33,10.91,9,15,20,17,20,8
3671094,10.59,20,18.67,19.77,19.57,19.64,20,9,20,12
3803565,18.82,-,20,20,20,19.64,20,9,19,9
3801805,-,-,-,-,-,-,-,-,-,-
3670777,16.47,19,19.33,20,20,17.14,20,9,19,9
3702385,-,19,20,-,20,17.86,-,9,-,9
3802999,16.47,20,16,20,19.5,18.21,16.67,17,14.06,14
3700149,15.88,20,18.67,19.09,20,17.86,20,9,19.59,-
3670241,17.06,14,20,18.41,20,-,20,-,-,-
3802342,16.47,20,16,20,19.07,17.86,16.67,13,14.06,-
3803025,14.71,19,20,20,19.14,16.07,20,15,20,5
3971371,-,12.33,12,14.09,20,15.36,18.67,9,-,-
3800494,15.88,20,13.33,17.5,20,13.21,20,5.75,15.71,11
28507556,14.12,15,16.11,13.86,20,13.57,17.33,0,7.47,6
3413360,17.65,-,10.67,20,-,18.21,20,7,12.82,4
3971280,15.29,20,14.67,14.77,20,18.21,-,8,19,14
3702996,16.47,20,20,19.77,20,18.21,20,9,-,-
3802811,16.47,20,20,-,20,18.93,15.33,17,-,12
3801528,15.29,15,20,20,18.71,17.5,20,15,20,9
28716768,10,17.44,14.67,17.73,16,15.71,20,8,14.24,12
3802881,17.06,20,14.67,19.77,20,19.64,20,9,10.82,10
3803966,13.53,20,20,18.41,20,18.21,20,-,14.88,12
2302854,-,-,-,-,-,-,-,-,-,-
3709095,14.12,15,20,20,18,15.36,10,7,9.53,7
3704090,9.41,19.44,14.67,20,20,19.64,20,17,20,14
28718372,-,15.44,10,18.64,20,16.79,20,7,18.59,5
3302184,10.59,8.56,8.67,10.91,16,18.21,20,17,20,12
3802410,15.88,15,20,20,20,18.57,20,17,18,15
3802713,-,15,19.33,19.77,17.5,10.71,20,7,19,5
3521322,11.76,20,13.11,13.64,16,17.86,3.33,4,10.35,8
28616887,13.53,13.33,20,20,18.71,17.86,20,9,20,13
3700530,15.88,20,20,17.95,20,18.57,20,16,16.12,10
3800103,15.88,19.44,11.67,18.41,20,13.93,19.33,17,19,12
3700640,15.29,20,20,20,20,18.21,20,17,20,12
3805644,16.47,20,16,20,19.5,18.21,16.67,14,14.06,14
3800099,16.47,20,13,13.18,20,16.07,10.67,9,19,13
3802336,16.47,20,20,20,20,18.93,20,17,19,12
3803639,-,-,-,-,-,-,-,-,-,-
3710442,-,-,-,14.77,20,10.36,20,8,19,17
3671035,-,16,18.67,13.64,20,13.93,20,6,20,9
28717834,16.47,16,20,20,20,16.79,20,17,18,12
3670056,11.18,20,8.11,13.86,-,17.14,20,4,8.82,8
3603619,-,15.56,14.67,20,18.71,14.64,18.67,16,16,-
3772433,12.35,20,12,12.95,12.64,12.86,19.33,17,19.59,-
3711799,18.82,20,20,20,20,15.71,20,17,19,15
3801695,18.24,15,20,20,18.71,18.21,20,17,19,15
3800519,15.88,16,20,19.09,20,18.57,20,9,20,10
3709743,-,15,10,15.68,20,16.79,20,8.75,14.35,7
3705179,17.65,20,20,20,20,18.21,20,9,19,17
3802257,10.59,-,-,-,18.71,18.21,20,-,-,-
3706599,12.35,15,20,18.86,18.71,18.57,20,17,20,15
28712991,19.41,20,20,20,20,18.57,20,17,20,14
28504995,8.82,20,10.78,18.18,20,16.43,20,8,13.65,12
3520624,9.41,20,11.33,17.95,16,15.71,6.67,9,-,-
3971141,7.65,15,20,14.55,20,17.5,20,17,20,11
3707173,16.47,19,20,20,18.71,18.21,20,17,19,17
3801173,14.71,15,20,18.41,20,14.64,20,17,19,14
28613397,18.82,17,20,17.95,19.57,17.14,20,9,19,10
3875020,16.47,14.44,12,17.05,20,13.93,20,17,19,14
3702867,5.88,13.89,13.33,-,20,13.93,20,-,10.06,-
3708077,6.47,20,20,20,-,17.86,-,-,-,-
3674815,-,-,-,-,-,-,-,-,-,-
3800422,16.47,20,11.33,13.18,20,16.07,10.67,9,19,12
3876023,-,-,9.67,14.32,18.71,-,8,15,-,-
3802432,-,18,10,14.32,18.21,-,18.67,9,14.47,10
3309154,3.53,18.89,6.67,2.05,13.07,6.43,-,-,-,-
3700421,8.24,15.56,6.67,9.32,18.71,11.43,8,1,7.06,4
3971668,14.71,20,20,20,20,19.64,20,9,20,12
3700479,15.29,20,20,17.27,20,18.21,20,9,20,16
3700615,18.24,-,20,19.32,20,18.57,20,16,19,8
3522190,10.59,20,19.67,17.27,15.07,18.57,20,8,5.82,10
3201218,14.71,20,11.33,16.14,15.86,13.57,20,17,10.24,4
3803950,16.47,20,20,20,20,19.64,20,17,-,12
3874897,8.82,15,9.33,10.68,12.21,14.64,20,6,7.47,4
3407834,-,-,-,-,-,-,-,-,-,-
3700041,12.35,-,-,20,18.71,18.21,20,17,20,-
3803611,19.41,20,20,20,20,19.64,20,17,17.59,10
28502791,11.76,18,17.33,17.05,10.79,18.21,20,7,19.59,9
3971165,15.29,20,20,19.55,18.71,18.21,20,8,19,9
3800646,12.94,20,20,-,20,-,-,-,-,-
3802558,18.82,20,20,20,20,19.64,20,9,19,10
3670527,9.41,20,20,19.55,18.71,18.21,19.33,17,19,-
3700191,17.06,14,19.67,17.27,16.57,17.5,20,8,20,10
3803468,17.65,20,-,20,20,18.93,20,9,18,10
3802500,19.41,20,20,20,20,19.64,20,17,19,12
3671086,16.47,20,20,20,20,19.29,20,9,19,13
3670280,15.29,20,20,20,20,18.21,20,9,18,12
3671439,15.29,20,12.44,18.18,16.57,12.86,20,7,11.18,-
3971070,19.41,-,20,20,20,19.64,20,17,-,12
3670050,16.47,15,20,18.18,20,17.86,19.33,9,19.59,9
3800364,15.88,20,12,-,16.07,18.21,-,17,19,13
28717021,17.65,20,11.67,15.68,20,15,17.33,15,12.82,7
3802291,17.06,20,17.33,19.32,18.5,16.07,20,4,19,10
3801474,13.53,13.89,16,17.5,20,13.21,20,6,15.71,12
3301246,17.06,18.33,14.67,18.41,20,18.21,19.33,16,19,15
3521154,-,20,17.33,20,13.5,16.43,20,17,20,-
3703993,6.47,15,14,13.86,18.71,15.71,20,8,10.35,15
3802621,17.65,19,13.78,20,20,13.93,20,13,14.88,-
3803961,11.76,18.89,20,20,18.71,11.79,20,-,-,4
3671913,7.65,12,-,19.77,18.71,12.14,20,8,8.82,6
3700565,12.94,19.44,8.44,11.14,15.14,13.21,8.67,6,18.18,14
3803009,12.94,19,8.67,15.68,20,19.64,20,17,19,12
3800446,11.76,20,16.11,15.23,19,15,20,8,17.76,7
3803454,15.88,13,10,12.27,15.86,13.57,20,5,12.12,9
3802614,15.29,18,13.11,18.18,20,17.14,12.67,8,13.24,8
3800511,15.88,20,10.67,12.73,20,17.14,16.67,7,15.71,3
28717024,17.65,20,11.67,15.68,20,13.93,16.67,15,12.41,7
3679357,15.29,20,16.67,20,18.71,18.21,20,17,17.59,-
3802515,14.71,15,20,20,20,19.64,20,17,19,10
3703346,13.53,20,10.78,11.59,-,17.86,15.33,6,4,6
3700185,10.59,-,-,-,-,-,-,-,-,-
3711387,18.82,18,20,20,-,18.21,20,-,18.59,12
3708307,-,16,9,19.77,17.43,13.57,-,-,-,-
3674205,5.88,20,8,-,-,-,-,-,-,-
3800256,12.35,13.89,11.33,15.68,19.5,13.21,20,7,15.29,3
3309168,3.53,15,14.67,20,20,15.71,20,8,19,-
3873784,7.65,15.33,9.67,19.32,6.86,13.21,14.67,4,8.18,4
3872354,13.53,20,12,20,20,18.21,20,9,20,12
3802420,19.41,20,20,20,20,19.64,20,17,19,12
2800282,5.29,6.44,10.67,15.45,16.14,12.86,7.33,3,-,5
3811132,11.76,18,12.67,13.18,18,18.21,20,9,20,15
3415762,-,-,-,12.95,17.14,11.79,19.33,14,14.47,-
3803151,18.82,20,20,20,20,18.93,20,17,19,12
3800104,13.53,18,7,14.55,20,14.29,20,2,8.35,5
3872902,11.18,8.33,9.33,15.23,-,-,0.67,-,-,-
3703893,16.47,14,20,17.05,16.57,17.5,20,8,19.59,9
3701184,8.24,18.33,20,15.23,20,17.86,20,17,13.65,12
28616082,17.65,20,20,20,18.71,18.21,20,17,20,12
3802805,18.82,20,19.33,19.32,20,14.29,20,5.5,15.71,-
3971120,17.65,20,20,20,19.57,16.79,20,17,19,17
3670888,-,20,20,20,20,18.21,20,16,19,12
28705217,-,-,-,-,-,-,-,7,9.12,-
3703036,-,10.67,6.67,17.5,8.79,0,12,-,-,-
3970712,16.47,20,20,18.41,20,18.21,20,9,14.88,12
3800002,16.47,19,20,19.09,19.57,17.86,20,9,18.59,10
3700451,5.88,15,17.67,18.41,20,12.14,20,9,15.71,15
28503374,3.53,18,10.67,18.64,20,16.43,18,5,14.47,11
3800274,14.71,17,9.78,6.82,20,15.71,16.67,8,8.59,5
3407325,17.65,20,14.67,18.41,20,18.21,20,16,18,15
28614283,18.82,16,20,18.41,19.5,19.64,20,9,19,9
3804264,16.47,15,20,20,20,18.57,20,17,19,14
3802892,14.12,20,20,20,20,17.5,20,17,19,12
3874133,18.82,19,20,19.09,19.57,18.57,20,8,19.59,9
3703339,-,6,-,5.91,14.57,14.64,20,4,6.12,-
3200147,-,-,-,-,-,-,-,-,-,-
3151223,-,-,-,-,-,-,-,-,-,-
3201608,-,20,10.33,16.36,18.57,15.71,20,9,19.18,9
3672502,12.35,20,12.44,14.55,20,13.21,18.67,8,10.82,-
3802984,18.24,20,20,20,20,19.64,20,-,19,15
3801996,3.53,18,2,-,-,16.43,20,-,-,-
3706648,14.12,13.33,15.67,18.64,20,13.93,20,8,14.47,8
3700914,-,20,9.33,18.64,18.14,19.64,20,17,20,-
3800559,12.35,19,7,15.23,18.21,13.21,17.33,6.5,12.82,8
3700052,11.18,15,20,20,18.71,18.21,20,17,19,15
3804472,18.82,20,18.67,20,18.71,18.21,20,9,20,15
28007865,13.53,-,10,18.18,17.5,13.93,14.67,6,4.06,-
3670334,14.12,15,20,19.09,20,17.14,20,17,18.59,9
3811248,11.76,18.89,10.33,18.41,17.36,13.21,20,6,4.41,10
3801327,14.71,-,-,-,-,-,-,-,-,-
3700044,11.18,10.89,11,12.73,16.57,13.57,12.67,3.5,12.82,-
3702332,17.06,20,20,20,20,18.21,20,9,20,11
3872484,5.29,-,-,9.09,-,-,-,4,11.59,-
3970770,19.41,16,10.33,15.91,18.71,15,20,6,13.06,7
3413637,8.82,20,18.67,19.77,19.57,19.29,20,9,20,12
3802658,14.12,20,20,20,20,19.64,20,17,19,12
3520893,-,20,9.33,17.73,17,18.93,18,7,20,12
3800131,-,19.44,20,18.64,20,18.93,20,17,10.82,15
3800297,14.12,19.44,20,18.64,20,18.93,20,17,10.82,12
2351624,-,9.11,10,13.18,19.57,13.57,5.33,7,4.47,9
3710230,15.29,16,11.67,15.68,20,14.64,19.33,17,19,8
28008879,-,12,9.33,14.55,19.57,14.64,17.33,6,8.41,5
3709947,16.47,19.44,10.33,10.45,16.57,14.64,20,6,14.47,10
3708962,18.82,20,18.67,20,20,18.21,17.33,17,19,12
3680880,15.29,19,12.44,18.64,19.14,14.64,20,-,-,-
Avg,14.27,17.68,15.71,17.47,18.69,16.51,18.59,11.07,16.29,10.67
